Date,City,Country,Local Time,Latitude,Longitude,Max Temp (C),Min Temp (C),Avg Temp (C),Max Wind (mph),Max Wind (kph),Total Precip (mm),Avg Humidity (%),UV Index,Condition
2023-10-16,Ho Chi Minh City,Vietnam,2024-10-16 11:08,10.75,106.6667,26.1,24.2,25.0,4.3,6.8,16.68,93,6.0,Light rain shower
2023-10-17,Ho Chi Minh City,Vietnam,2024-10-16 11:08,10.75,106.6667,30.0,24.0,26.3,6.9,11.2,11.1,85,6.0,Light rain shower
2023-10-18,Ho Chi Minh City,Vietnam,2024-10-16 11:08,10.75,106.6667,30.0,24.2,26.4,5.8,9.4,15.17,87,7.0,Light rain shower
2023-10-19,Ho Chi Minh City,Vietnam,2024-10-16 11:08,10.75,106.6667,31.8,24.4,27.6,4.7,7.6,9.66,82,7.0,Patchy light rain
2023-10-20,Ho Chi Minh City,Vietnam,2024-10-16 11:08,10.75,106.6667,31.2,24.7,27.0,5.8,9.4,34.29,86,7.0,Patchy light rain with thunder
2023-10-21,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.8,24.5,27.3,7.2,11.5,5.05,81,7.0,Light rain shower
2023-10-22,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.9,24.3,27.3,6.3,10.1,6.15,82,7.0,Patchy light rain with thunder
2023-10-23,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,30.7,24.0,26.5,7.4,11.9,8.29,85,7.0,Light rain shower
2023-10-24,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.0,24.5,27.0,6.9,11.2,21.59,84,7.0,Light rain shower
2023-10-25,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,30.9,24.4,26.8,7.2,11.5,11.34,84,7.0,Light rain shower
2023-10-26,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.4,24.2,27.2,7.8,12.6,1.97,81,7.0,Light rain shower
